Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.38E-04,-0.64,-0.66
-4.38E-04,-0.632,-0.54
-4.38E-04,-0.648,-0.58
-4.37E-04,-0.636,-0.54
-4.37E-04,-0.644,-0.62
-4.37E-04,-0.644,-0.58
-4.37E-04,-0.648,-0.54
-4.37E-04,-0.64,-0.54
-4.37E-04,-0.64,-0.58
-4.37E-04,-0.652,-0.54
-4.37E-04,-0.656,-0.58
-4.37E-04,-0.66,-0.54
-4.37E-04,-0.66,-0.58
-4.36E-04,-0.652,-0.58
-4.36E-04,-0.656,-0.58
-4.36E-04,-0.66,-0.54
-4.36E-04,-0.652,-0.66
-4.36E-04,-0.672,-0.54
-4.36E-04,-0.668,-0.62
-4.36E-04,-0.66,-0.58
-4.36E-04,-0.664,-0.66
-4.36E-04,-0.668,-0.54
-4.36E-04,-0.672,-0.62
-4.35E-04,-0.664,-0.62
-4.35E-04,-0.68,-0.58
-4.35E-04,-0.676,-0.66
-4.35E-04,-0.68,-0.7
-4.35E-04,-0.676,-0.58
-4.35E-04,-0.68,-0.5
-4.35E-04,-0.684,-0.66
-4.35E-04,-0.676,-0.7
-4.35E-04,-0.684,-0.66
-4.35E-04,-0.68,-0.62
-4.34E-04,-0.672,-0.54
-4.34E-04,-0.692,-0.58
-4.34E-04,-0.7,-0.58
-4.34E-04,-0.692,-0.66
-4.34E-04,-0.684,-0.7
-4.34E-04,-0.696,-0.66
-4.34E-04,-0.7,-0.66
-4.34E-04,-0.7,-0.58
-4.34E-04,-0.688,-0.62
-4.34E-04,-0.696,-0.62
-4.33E-04,-0.712,-0.7
-4.33E-04,-0.708,-0.66
-4.33E-04,-0.7,-0.7
-4.33E-04,-0.72,-0.74
-4.33E-04,-0.712,-0.66
-4.33E-04,-0.708,-0.62
-4.33E-04,-0.708,-0.66
-4.33E-04,-0.712,-0.7
-4.33E-04,-0.716,-0.62
-4.33E-04,-0.716,-0.66
-4.32E-04,-0.716,-0.66
-4.32E-04,-0.708,-0.62
-4.32E-04,-0.716,-0.74
-4.32E-04,-0.72,-0.62
-4.32E-04,-0.728,-0.74
-4.32E-04,-0.728,-0.66
-4.32E-04,-0.72,-0.7
-4.32E-04,-0.736,-0.66
-4.32E-04,-0.736,-0.66
-4.32E-04,-0.732,-0.7
-4.31E-04,-0.728,-0.62
-4.31E-04,-0.748,-0.66
-4.31E-04,-0.744,-0.78
-4.31E-04,-0.736,-0.7
-4.31E-04,-0.736,-0.62
-4.31E-04,-0.744,-0.66
-4.31E-04,-0.744,-0.7
-4.31E-04,-0.74,-0.66
-4.31E-04,-0.756,-0.7
-4.31E-04,-0.748,-0.62
-4.30E-04,-0.748,-0.78
-4.30E-04,-0.752,-0.66
-4.30E-04,-0.748,-0.78
-4.30E-04,-0.76,-0.74
-4.30E-04,-0.76,-0.66
-4.30E-04,-0.752,-0.66
-4.30E-04,-0.76,-0.62
-4.30E-04,-0.756,-0.78
-4.30E-04,-0.76,-0.66
-4.30E-04,-0.756,-0.7
-4.29E-04,-0.768,-0.78
-4.29E-04,-0.76,-0.7
-4.29E-04,-0.768,-0.66
-4.29E-04,-0.768,-0.66
